name,ein,category,city,state,website,description
Commonwealth Zoological Corporation,043129124,Other,BOSTON,MA,,"Other organization in BOSTON, MA"
Greater Life Baptist Church,043133052,Religious,DORCHESTER,MA,,"Religious organization in DORCHESTER, MA"
Friends Of The Williams Middle School,043134192,Education,BRIDGEWATER,MA,,"Education organization in BRIDGEWATER, MA"
Friends Of The Ipswich Public Library,043137114,Other,IPSWICH,MA,,"Other organization in IPSWICH, MA"
Paper Mill Elementary School P T O,043137169,Education,WESTFIELD,MA,,"Education organization in WESTFIELD, MA"
Church Of The Good Shephard Presbyterian,043138377,Religious,SOUTH EASTON,MA,,"Religious organization in SOUTH EASTON, MA"
New Colony Baptist Church,043141940,Religious,BILLERICA,MA,,"Religious organization in BILLERICA, MA"
Manomet Home And School Association,043143639,Education,MANOMET,MA,,"Education organization in MANOMET, MA"
Groveland Historical Society,043145677,Other,GROVELAND,MA,,"Other organization in GROVELAND, MA"
University Of Massachusetts,043145945,Education,NEW BRAINTREE,MA,,"Education organization in NEW BRAINTREE, MA"
University Of Massachusetts,043147312,Education,OXFORD,MA,,"Education organization in OXFORD, MA"
First Baptist Church,043147767,Religious,SCITUATE,MA,,"Religious organization in SCITUATE, MA"
Spanish Free Methodist Church,043156707,Religious,SALEM,MA,,"Religious organization in SALEM, MA"
Byam School Association,043161361,Education,CHELMSFORD,MA,,"Education organization in CHELMSFORD, MA"
College Womens Club Of Cape Ann,043161486,Education,GLOUCESTER,MA,,"Education organization in GLOUCESTER, MA"
Orleans After School Activites Program,043163018,Education,ORLEANS,MA,,"Education organization in ORLEANS, MA"
Arlington Community Theater,043163888,Human Services,ARLINGTON,MA,,"Human Services organization in ARLINGTON, MA"
Reading Montessori School,043164994,Education,READING,MA,,"Education organization in READING, MA"
Eglise Baptiste Du Bon-berger,043166005,Other,DORCHESTER,MA,,"Other organization in DORCHESTER, MA"
Foundation For Modern Opera,043167463,Arts & Culture,WORCESTER,MA,,"Arts & Culture organization in WORCESTER, MA"
Wareham High School Alumni Assoc,043170180,Education,WAREHAM,MA,,"Education organization in WAREHAM, MA"
Masjid An-nur And Madina Islamic School,043171309,Education,ROXBURY,MA,,"Education organization in ROXBURY, MA"
Friends Of Stevens Memorial Library,043175675,Other,NORTH ANDOVER,MA,,"Other organization in NORTH ANDOVER, MA"
Harvard Business School Publishing Corporation,043177990,Education,BRIGHTON,MA,,"Education organization in BRIGHTON, MA"
Friends Of The Goodwin Memorial Library,043178783,Other,HADLEY,MA,,"Other organization in HADLEY, MA"
Renewed Baptist Church,043189837,Religious,FRAMINGHAM,MA,,"Religious organization in FRAMINGHAM, MA"
Coolidge School Science Olympiad,043192502,Education,READING,MA,,"Education organization in READING, MA"
Ark Of The Covenant Spiritual Baptist Church,043201885,Religious,DORCHESTER,MA,,"Religious organization in DORCHESTER, MA"
Bethel Baptist Church,043202583,Religious,CAMBRIDGE,MA,,"Religious organization in CAMBRIDGE, MA"
Fiske School Pto,043211068,Education,WELLESLEY,MA,,"Education organization in WELLESLEY, MA"
Edgar B Davis K-8 Community School Pta,043212563,Education,BROCKTON,MA,,"Education organization in BROCKTON, MA"
Lighthouse Baptist Church Of Hudson,043220158,Religious,LONDONDERRY,NH,,"Religious organization in LONDONDERRY, NH"
Cambridge Korean Presbyterian Church,043221769,Religious,ARLINGTON,MA,,"Religious organization in ARLINGTON, MA"
Friends Of Parkerville Schoolhouse,043223129,Education,WESTFORD,MA,,"Education organization in WESTFORD, MA"
Schofield School Pto,043230047,Education,WELLESLEY,MA,,"Education organization in WELLESLEY, MA"
Falls School Parent Organization,043233361,Education,NORTH ATTLEBORO,MA,,"Education organization in NORTH ATTLEBORO, MA"
Resurrection Community Baptist Church,043234521,Religious,MATTAPAN,MA,,"Religious organization in MATTAPAN, MA"
Redeemer Presbyterian Church,043237301,Religious,CONCORD,MA,,"Religious organization in CONCORD, MA"
Shiloh Baptist Church,043239729,Religious,WEST MEDFORD,MA,,"Religious organization in WEST MEDFORD, MA"
Cooperative Development Institute,043241596,Arts & Culture,NORTHAMPTON,MA,,"Arts & Culture organization in NORTHAMPTON, MA"
Friends Of The Millicent Library,043241972,Other,FAIRHAVEN,MA,,"Other organization in FAIRHAVEN, MA"
Puppeteers Cooperative,043242319,Arts & Culture,REVERE,MA,,"Arts & Culture organization in REVERE, MA"
Bethleen Haitian Baptist Church,043244039,Religious,DORCHESTER,MA,,"Religious organization in DORCHESTER, MA"
Jamaica Plain Mulaticultural After School Program,043244488,Education,JAMAICA PLAIN,MA,,"Education organization in JAMAICA PLAIN, MA"
Shrewsbury High School Alumni Association,043246102,Education,SHREWSBURY,MA,,"Education organization in SHREWSBURY, MA"
Christ The King Presbyterian Church,043253123,Religious,CAMBRIDGE,MA,,"Religious organization in CAMBRIDGE, MA"
Purr-fect Cat Shelter,043256040,Human Services,MEDWAY,MA,,"Human Services organization in MEDWAY, MA"
Reilly School Community Pto,043267038,Education,LOWELL,MA,,"Education organization in LOWELL, MA"
Friends Of The Millis Library,043268133,Other,MILLIS,MA,,"Other organization in MILLIS, MA"
Mansfield Elementary School Association,043273013,Education,MANSFIELD,MA,,"Education organization in MANSFIELD, MA"
Cunniff School Parent Teacher Organization,043273216,Education,WATERTOWN,MA,,"Education organization in WATERTOWN, MA"
Stow Historical Society,043273479,Other,STOW,MA,,"Other organization in STOW, MA"
Burlington High School,043274739,Education,BURLINGTON,MA,,"Education organization in BURLINGTON, MA"
F J Dutile School Pto,043278904,Education,BILLERICA,MA,,"Education organization in BILLERICA, MA"
Forever Paws Animal Shelter,043280557,Human Services,FALL RIVER,MA,,"Human Services organization in FALL RIVER, MA"
Florence Roche School Pta,043283124,Education,GROTON,MA,,"Education organization in GROTON, MA"
Friends Of Richards Memorial Library Of Paxton,043283339,Other,PAXTON,MA,,"Other organization in PAXTON, MA"
Randall Library Friends Association,043284326,Other,STOW,MA,,"Other organization in STOW, MA"
Boston Bel Canto Opera,043284341,Arts & Culture,BOSTON,MA,,"Arts & Culture organization in BOSTON, MA"
Lynn Cambodian Baptist Church,043285851,Religious,LYNN,MA,,"Religious organization in LYNN, MA"
New Faith Missonary Baptist Church,043287137,Religious,ROXBURY,MA,,"Religious organization in ROXBURY, MA"
Melrose Youth Ballet,043287442,Youth Development,MELROSE,MA,,"Youth Development organization in MELROSE, MA"
Operation Graduation Bellingham High School,043287487,Education,BELLINGHAM,MA,,"Education organization in BELLINGHAM, MA"
Social And Environmental Research,043288925,Environment/Animals,SHELBURNE FLS,MA,,"Environment/Animals organization in SHELBURNE FLS, MA"
Reading Memorial High School Pto,043290612,Education,READING,MA,,"Education organization in READING, MA"
Boston-west Korean Presbyterian Church,043290998,Religious,AUBURNDALE,MA,,"Religious organization in AUBURNDALE, MA"
Innovation Academy Charter School,043291862,Education,TYNGSBORO,MA,,"Education organization in TYNGSBORO, MA"
Vision Research Institute,043292597,Research,LOWELL,MA,,"Research organization in LOWELL, MA"
Information Research Foundation,043292646,Research,N DARTMOUTH,MA,,"Research organization in N DARTMOUTH, MA"
Hayes School Pto,043294717,Education,CHESTNUT HILL,MA,,"Education organization in CHESTNUT HILL, MA"
Friends Of The Lancaster Town Library,043295887,Other,LANCASTER,MA,,"Other organization in LANCASTER, MA"
Summit Montessori School,043298290,Education,FRAMINGHAM,MA,,"Education organization in FRAMINGHAM, MA"
Elizabeth Carter Brooks School Pta,043299104,Education,NEW BEDFORD,MA,,"Education organization in NEW BEDFORD, MA"
Academy Avenue School Parent Council,043308082,Education,WEYMOUTH,MA,,"Education organization in WEYMOUTH, MA"
Lawrence School Pto,043309836,Education,FALMOUTH,MA,,"Education organization in FALMOUTH, MA"
Mendon Historical Society,043311399,Other,MENDON,MA,,"Other organization in MENDON, MA"
Eglise Baptiste Eben-ezer,043312527,Other,WINCHESTER,MA,,"Other organization in WINCHESTER, MA"
Hannah Elementary School Pto,043313019,Education,BEVERLY,MA,,"Education organization in BEVERLY, MA"
Boston Medical Center Corporation,043314093,Health,BOSTON,MA,,"Health organization in BOSTON, MA"
New Braintree Historical Society,043315951,Other,NEW BRAINTREE,MA,,"Other organization in NEW BRAINTREE, MA"
Rockland Memorial Library Foundation,043318428,Foundation,ROCKLAND,MA,,"Foundation organization in ROCKLAND, MA"
Philadelphia Baptist Church,043319783,Religious,FRAMINGHAM,MA,,"Religious organization in FRAMINGHAM, MA"
Trinitarian Missionary Community Baptist Church,043321981,Religious,CHICOPEE,MA,,"Religious organization in CHICOPEE, MA"
Museum Of Our Industrial Heritage,043322199,Arts & Culture,GREENFIELD,MA,,"Arts & Culture organization in GREENFIELD, MA"
Friends Of The Chicopee Public Library,043325120,Other,CHICOPEE,MA,,"Other organization in CHICOPEE, MA"
Spruce Street Nursery School,043326852,Education,BOSTON,MA,,"Education organization in BOSTON, MA"
Pierce Middle School Parent Teacher Organization,043327724,Education,MILTON,MA,,"Education organization in MILTON, MA"
Thoreau School Ptg,043328106,Education,CONCORD,MA,,"Education organization in CONCORD, MA"
Concord Middle School Ptg,043328226,Education,CONCORD,MA,,"Education organization in CONCORD, MA"
Fc Murphy School Parent Council Ltd,043328256,Education,WEYMOUTH,MA,,"Education organization in WEYMOUTH, MA"
Middle School Parent Teacher Organization,043329082,Education,SHREWSBURY,MA,,"Education organization in SHREWSBURY, MA"
Friends Of The Charlestown Library Ltd,043330182,Other,CHARLESTOWN,MA,,"Other organization in CHARLESTOWN, MA"
Center School Parent Teacher Organization,043330783,Education,PEABODY,MA,,"Education organization in PEABODY, MA"
Century Chinese Language School,043331484,Education,MARLBOROUGH,MA,,"Education organization in MARLBOROUGH, MA"
William B Swett Museum,043332303,Arts & Culture,BEVERLY,MA,,"Arts & Culture organization in BEVERLY, MA"
Union Taiwan Presbyterian Church Of New England,043334970,Religious,WABAN,MA,,"Religious organization in WABAN, MA"
Korean Methodist Church Of Boston,043337906,Religious,CAMBRIDGE,MA,,"Religious organization in CAMBRIDGE, MA"
New Life Baptist Church,043342124,Religious,WOBURN,MA,,"Religious organization in WOBURN, MA"
Rockland Public Library Association,043343117,Other,ROCKLAND,ME,,"Other organization in ROCKLAND, ME"
Good Shepherd Presbyterian Church USA,043343699,Religious,SOUTH EASTON,MA,,"Religious organization in SOUTH EASTON, MA"
Lisbon Area Historical Society,043344638,Other,LISBON,NH,,"Other organization in LISBON, NH"
Paton Home School Association,043345729,Education,SHREWSBURY,MA,,"Education organization in SHREWSBURY, MA"
Friends Of The Milton Public Library,043347477,Other,MILTON,VT,,"Other organization in MILTON, VT"
Friends Of The Aaron Cutler Memorial Library,043347498,Other,LITCHFIELD,NH,,"Other organization in LITCHFIELD, NH"
Lake Winnipesaukee Historical Society,043347804,Other,WEIRS BEACH,NH,,"Other organization in WEIRS BEACH, NH"
New Bedford Historical Society,043348881,Other,NEW BEDFORD,MA,,"Other organization in NEW BEDFORD, MA"
University Of Southern Maine Foundation,043350930,Education,PORTLAND,ME,,"Education organization in PORTLAND, ME"
Nashua Presbyterian Church,043351194,Religious,NASHUA,NH,,"Religious organization in NASHUA, NH"
True Light Missionary Baptist Church,043355695,Religious,DORCHESTER,MA,,"Religious organization in DORCHESTER, MA"
Cushing Library Association,043359948,Other,CUSHING,ME,,"Other organization in CUSHING, ME"
Essex United Methodist Church,043362465,Religious,ESSEX,VT,,"Religious organization in ESSEX, VT"
Friends Of Blaisdell Memorial Library,043363481,Other,NOTTINGHAM,NH,,"Other organization in NOTTINGHAM, NH"
Friends Of The Wilmington Memorial Library,043366134,Other,WILMINGTON,MA,,"Other organization in WILMINGTON, MA"
Haitian Baptist Church Of Tabernacle,043366145,Religious,BILLERICA,MA,,"Religious organization in BILLERICA, MA"
Springfield Grace Community Baptist Church,043366922,Religious,SPRINGFIELD,MA,,"Religious organization in SPRINGFIELD, MA"
Grace Christian School Corporation,043368587,Religious,BENNINGTON,VT,,"Religious organization in BENNINGTON, VT"
Vermont Commons School,043371660,Education,S BURLINGTON,VT,,"Education organization in S BURLINGTON, VT"
Friends Of Sunderland Public Library,043372001,Other,SUNDERLAND,MA,,"Other organization in SUNDERLAND, MA"
Friends Of Bedford Public Library,043372862,Other,BEDFORD,MA,,"Other organization in BEDFORD, MA"
American Baptist Churches In The USA,043372881,Religious,NORTH ADAMS,MA,,"Religious organization in NORTH ADAMS, MA"
Arabic Evangelical Baptist Church,043374750,Religious,WEST ROXBURY,MA,,"Religious organization in WEST ROXBURY, MA"
Jeh Kulu Dance And Drum Theater,043375216,Arts & Culture,BURLINGTON,VT,,"Arts & Culture organization in BURLINGTON, VT"
Bedford Elementary Schools Together,043376892,Education,BEDFORD,MA,,"Education organization in BEDFORD, MA"
Ralph Talbot Primary School Pto,043378826,Education,WEYMOUTH,MA,,"Education organization in WEYMOUTH, MA"
Friends Of Lee Library,043381930,Other,LEE,NH,,"Other organization in LEE, NH"
Henry D Moore Parish House And Library,043382516,Other,STEUBEN,ME,,"Other organization in STEUBEN, ME"
Friends Of The Plaistow Public Library,043382757,Other,PLAISTOW,NH,,"Other organization in PLAISTOW, NH"
Dennys River Historical Society,043383320,Other,DENNYSVILLE,ME,,"Other organization in DENNYSVILLE, ME"
Bakersfield Historical Society Corp,043383815,Other,BAKERSFIELD,VT,,"Other organization in BAKERSFIELD, VT"
Trustees Of Dartmouth College,043386013,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Habitat For Cats No Kill Shelter,043388476,Human Services,N DARTMOUTH,MA,,"Human Services organization in N DARTMOUTH, MA"
Faith Baptist Church,043391409,Religious,AUBURN,ME,,"Religious organization in AUBURN, ME"
Trustees Of Dartmouth College,043391546,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391550,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391551,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391553,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391555,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391556,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391557,Education,WELLESLEY HLS,MA,,"Education organization in WELLESLEY HLS, MA"
Trustees Of Dartmouth College,043391558,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391560,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391561,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391562,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391563,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391565,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391581,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391584,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391586,Education,NEW YORK,NY,,"Education organization in NEW YORK, NY"
Trustees Of Dartmouth College,043391587,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391609,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391613,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391615,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391617,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391618,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391619,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391620,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391621,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391622,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391623,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391624,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391626,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Trustees Of Dartmouth College,043391629,Education,KEENE,NH,,"Education organization in KEENE, NH"
Trustees Of Dartmouth College,043391632,Education,PORTLAND,ME,,"Education organization in PORTLAND, ME"
Trustees Of Dartmouth College,043391638,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Morse Pond School Pto,043392724,Education,FALMOUTH,MA,,"Education organization in FALMOUTH, MA"
Tabernacle Baptist Congregation,043393991,Other,ROSLINDALE,MA,,"Other organization in ROSLINDALE, MA"
Webster School Pto,043394467,Education,EVERETT,MA,,"Education organization in EVERETT, MA"
Harvard Square Homeless Shelter Corporation,043399927,Human Services,CAMBRIDGE,MA,,"Human Services organization in CAMBRIDGE, MA"
Southborough Organization For Schools,043402503,Education,SOUTHBOROUGH,MA,,"Education organization in SOUTHBOROUGH, MA"
Congregacion Beser Spanish Free Methodist Church,043402521,Religious,DORCHESTER,MA,,"Religious organization in DORCHESTER, MA"
First Baptist Church Of Dorchester,043402948,Religious,DORCHESTER,MA,,"Religious organization in DORCHESTER, MA"
Research Support Fund,043404575,Research,AMHERST,MA,,"Research organization in AMHERST, MA"
Mitchell School Parent Teacher Council Trust,043407432,Education,NEEDHAM,MA,,"Education organization in NEEDHAM, MA"
John Ward School Parent Teacher Organization,043413692,Education,NEWTON CENTRE,MA,,"Education organization in NEWTON CENTRE, MA"
The Edith Glick Schoolman Childrens Foundation,043414101,Education,NEW YORK,NY,,"Education organization in NEW YORK, NY"
Eglise Baptiste Evangelique Haitienne,043416469,Other,BROCKTON,MA,,"Other organization in BROCKTON, MA"
John Eliot School Parent Teacher Council,043420865,Education,NEEDHAM,MA,,"Education organization in NEEDHAM, MA"
Broadmeadow Elementary School Ptc,043431845,Education,NEEDHAM,MA,,"Education organization in NEEDHAM, MA"
Albert & Amelia Ferst Operating Foundation,043435123,Arts & Culture,WESTFIELD,MA,,"Arts & Culture organization in WESTFIELD, MA"
Clinical Research Foundation,043436481,Health,WELLESLEY HLS,MA,,"Health organization in WELLESLEY HLS, MA"
Friends Of The Clarksburg Town Library,043436640,Other,CLARKSBURG,MA,,"Other organization in CLARKSBURG, MA"
Community Baptist Church,043439151,Religious,MARION,MA,,"Religious organization in MARION, MA"
Community School Pto,043440257,Education,N ATTLEBORO,MA,,"Education organization in N ATTLEBORO, MA"
Rabbi Marshall R Lifson Library Fund,043441536,Foundation,NEWTON,MA,,"Foundation organization in NEWTON, MA"
North Boston Korean United Methodist Church,043443511,Religious,ANDOVER,MA,,"Religious organization in ANDOVER, MA"
Friends Of Leicester Library,043449433,Other,LEICESTER,MA,,"Other organization in LEICESTER, MA"
Good Korean Methodist Church,043452281,Religious,BELMONT,MA,,"Religious organization in BELMONT, MA"
Flagg Street School Parent Teacher Group,043453609,Education,WORCESTER,MA,,"Education organization in WORCESTER, MA"
Forest Avenue Home And School Association,043455020,Education,HUDSON,MA,,"Education organization in HUDSON, MA"
Ebenezer Baptist Church,043456145,Religious,ABINGTON,MA,,"Religious organization in ABINGTON, MA"
Quinn Home And School,043458870,Education,HUDSON,MA,,"Education organization in HUDSON, MA"
Neighborhood House Charter School Foundation,043462888,Education,DORCHESTER,MA,,"Education organization in DORCHESTER, MA"
Hopedale Jr Sr High School Pto,043463446,Education,HOPEDALE,MA,,"Education organization in HOPEDALE, MA"
British School At Athens Foundation,043466100,Education,DRESDEN,ME,,"Education organization in DRESDEN, ME"
Friends Of The Ventress Memorial Library,043467867,Other,MARSHFIELD,MA,,"Other organization in MARSHFIELD, MA"
Old Charlestown Schoolboys Association,043468538,Education,CHARLESTOWN,MA,,"Education organization in CHARLESTOWN, MA"
Rice Korean Baptist Church,043468753,Religious,NORTHBOROUGH,MA,,"Religious organization in NORTHBOROUGH, MA"
Stepping Stone Community Theater,043478392,Human Services,SHREWSBURY,MA,,"Human Services organization in SHREWSBURY, MA"
Parker School Parent Teachers Organization,043481200,Education,BILLERICA,MA,,"Education organization in BILLERICA, MA"
New Covenant Orthodox Presbyterian Church,043481447,Religious,NEWTON,MA,,"Religious organization in NEWTON, MA"
Pioneer Valley Military & Transportation Museum,043483845,Arts & Culture,WESTFIELD,MA,,"Arts & Culture organization in WESTFIELD, MA"
Friends Of The Lanesborough Public Library,043483970,Other,LANESBOROUGH,MA,,"Other organization in LANESBOROUGH, MA"
Mason-rice Elementary School Pto,043484132,Education,NEWTON,MA,,"Education organization in NEWTON, MA"
Bay State Baptist Chrurch,043485631,Other,BILLERICA,MA,,"Other organization in BILLERICA, MA"
New Life Baptist Church,043486439,Religious,LOWELL,MA,,"Religious organization in LOWELL, MA"
Sermon On The Mountain Baptist Church,043496161,Religious,ROXBURY,MA,,"Religious organization in ROXBURY, MA"
Driscoll School Parent - Teacher Organization,043500659,Education,BROOKLINE,MA,,"Education organization in BROOKLINE, MA"
Piano Museum,043501963,Arts & Culture,HOPKINTON,MA,,"Arts & Culture organization in HOPKINTON, MA"
George R Martin School Pto,043504243,Education,SEEKONK,MA,,"Education organization in SEEKONK, MA"
Devens Historical Museum,043505779,Arts & Culture,DEVENS,MA,,"Arts & Culture organization in DEVENS, MA"
Friends Of The Phinhas S Newton Library,043509533,Other,ROYALSTON,MA,,"Other organization in ROYALSTON, MA"
Bedford Va Research Corporation,043512440,Research,BEDFORD,MA,,"Research organization in BEDFORD, MA"
Harvard-radcliffe Summer Theater,043513605,Arts & Culture,CAMBRIDGE,MA,,"Arts & Culture organization in CAMBRIDGE, MA"
Woodside School And Community Resource Center,043520022,Education,PLYMOUTH,MA,,"Education organization in PLYMOUTH, MA"
Boston United Korean Presbyterian Church,043520240,Religious,NEWTON,MA,,"Religious organization in NEWTON, MA"
Mile Tree School Pto,043521293,Education,WILBRAHAM,MA,,"Education organization in WILBRAHAM, MA"
Galvin Middle School Pto,043522283,Education,WAKEFIELD,MA,,"Education organization in WAKEFIELD, MA"
Class Of 1985 Of Dartmouth College,043524478,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Friends Of The Keep Homestead Museum,043524670,Arts & Culture,MONSON,MA,,"Arts & Culture organization in MONSON, MA"
Joseph R Dawe Jr School Pto,043525032,Education,STOUGHTON,MA,,"Education organization in STOUGHTON, MA"
Harvest Baptist Church,043525138,Religious,NORWELL,MA,,"Religious organization in NORWELL, MA"
Friends Of Wakefield High School Softball,043534706,Education,WAKEFIELD,MA,,"Education organization in WAKEFIELD, MA"
Friends Of Norton Public Library,043544427,Other,NORTON,MA,,"Other organization in NORTON, MA"
University Of Massachusetts,043545413,Education,EAST HARWICH,MA,,"Education organization in EAST HARWICH, MA"
Evan Henry Foundation For Autism,043545439,Foundation,NORWELL,MA,,"Foundation organization in NORWELL, MA"
Batten Disease Research,043551431,Research,WESTPORT,MA,,"Research organization in WESTPORT, MA"
Holyoke Community Charter School,043554554,Education,HOLYOKE,MA,,"Education organization in HOLYOKE, MA"
Philadelphia Baptist Church In Milford,043556374,Religious,MILFORD,MA,,"Religious organization in MILFORD, MA"
Walpole Public Library Endowment Trust,043557233,Foundation,WALPOLE,MA,,"Foundation organization in WALPOLE, MA"
Newton Chinese Language School,043559937,Education,MALDEN,MA,,"Education organization in MALDEN, MA"
Ashland Preschool Pto,043562493,Education,ASHLAND,MA,,"Education organization in ASHLAND, MA"
Peirce School Pto,043563715,Education,ARLINGTON,MA,,"Education organization in ARLINGTON, MA"
Citylife Presbyterian Church Of Boston,043568505,Religious,BOSTON,MA,,"Religious organization in BOSTON, MA"
New Life Presbyterian Community Church,043569126,Religious,FRAMINGHAM,MA,,"Religious organization in FRAMINGHAM, MA"
Nessacus Regional Middle School Pto,043570489,Education,DALTON,MA,,"Education organization in DALTON, MA"
Sutton Middle School Pto,043573114,Education,SUTTON,MA,,"Education organization in SUTTON, MA"
Brookline Library Music Association,043573293,Other,BROOKLINE,MA,,"Other organization in BROOKLINE, MA"
Friends Of The Acushnet Public Library,043573470,Other,ACUSHNET,MA,,"Other organization in ACUSHNET, MA"
Restoration Community Baptist Church,043573586,Religious,BROCKTON,MA,,"Religious organization in BROCKTON, MA"
Montessori School Of Massachusetts,043574691,Education,QUINCY,MA,,"Education organization in QUINCY, MA"
Bethel Presbyterian Church,043574797,Religious,MARLBOROUGH,MA,,"Religious organization in MARLBOROUGH, MA"
Plymouth Cordage Historical Society,043575208,Other,PLYMOUTH,MA,,"Other organization in PLYMOUTH, MA"
Revelations Baptist Church,043576457,Religious,ROXBURY,MA,,"Religious organization in ROXBURY, MA"
Burgess Elementary School Pto,043577534,Education,STURBRIDGE,MA,,"Education organization in STURBRIDGE, MA"
Zervas School Parent-teacher Organization,043579042,Education,WABAN,MA,,"Education organization in WABAN, MA"
Laicos Methodist Church,043579248,Religious,NEWTON CENTER,MA,,"Religious organization in NEWTON CENTER, MA"
Pto Englesby Elementary School,043579574,Education,DRACUT,MA,,"Education organization in DRACUT, MA"
Christ The King United Presbyterian Church,043580762,Religious,WOBURN,MA,,"Religious organization in WOBURN, MA"
Framingham Baptist Church,043583227,Religious,FRAMINGHAM,MA,,"Religious organization in FRAMINGHAM, MA"
Friends Of Faneuil Branch Library,043583644,Other,BRIGHTON,MA,,"Other organization in BRIGHTON, MA"
Ocean Homeless Abandoned Animals Corp,043589066,Human Services,LONG BRANCH,NJ,,"Human Services organization in LONG BRANCH, NJ"
Nueva Vision Free Methodist Church,043622041,Religious,BUFFALO,NY,,"Religious organization in BUFFALO, NY"
Pta Public School 36,043644362,Education,STATEN ISLAND,NY,,"Education organization in STATEN ISLAND, NY"
Flocks Presbyterian Church Of New York,043644833,Religious,OAKLAND GDNS,NY,,"Religious organization in OAKLAND GDNS, NY"
Grace Missionary Baptist Church,043654307,Religious,BUFFALO,NY,,"Religious organization in BUFFALO, NY"
Heermance Memorial Library,043670100,Other,COXSACKIE,NY,,"Other organization in COXSACKIE, NY"
Trustees Of Dartmouth College,043675364,Education,HANOVER,NH,,"Education organization in HANOVER, NH"
Haitian Tabernacle Baptist Church,043676576,Religious,TRENTON,NJ,,"Religious organization in TRENTON, NJ"
Hingham High School Athletic Hall Of Fame,043680012,Education,HINGHAM,MA,,"Education organization in HINGHAM, MA"
Friends Of The Fair Haven Free Library,043687565,Other,FAIR HAVEN,VT,,"Other organization in FAIR HAVEN, VT"
Mt Moriah Baptist Church,043691596,Religious,BROOKLYN,NY,,"Religious organization in BROOKLYN, NY"
Framingham High School Foundation,043718614,Education,FRAMINGHAM,MA,,"Education organization in FRAMINGHAM, MA"
William G Vinal School Pto,043724454,Education,NORWELL,MA,,"Education organization in NORWELL, MA"
Mount Zion Missionary Baptist Church,043724468,Religious,JERSEY CITY,NJ,,"Religious organization in JERSEY CITY, NJ"
Fox Point Boys And Girls Club Alumni Association,043739231,Other,E PROVIDENCE,RI,,"Other organization in E PROVIDENCE, RI"
New Life Presbyterian Church Of New York,043739649,Religious,OAKLAND GDNS,NY,,"Religious organization in OAKLAND GDNS, NY"
Buffalo United Charter School,043739989,Education,BUFFALO,NY,,"Education organization in BUFFALO, NY"
Science Academies Of New York Charter Schools,043739991,Education,SYRACUSE,NY,,"Education organization in SYRACUSE, NY"
Ladies Library Association Of Randolph,043748737,Other,RANDOLPH,MA,,"Other organization in RANDOLPH, MA"
Sunrise Baptist Church Of New York,043763738,Religious,RIDGEFIELD PARK,NJ,,"Religious organization in RIDGEFIELD PARK, NJ"
Chinese School Andover,043769173,Education,ANDOVER,MA,,"Education organization in ANDOVER, MA"
Trescott Historical Society,043779152,Other,TRESCOTT TWP,ME,,"Other organization in TRESCOTT TWP, ME"
