name,ein,category,website,description
SILICON VALLEY COMMUNITY FOUNDATION,205205488,Human Services,,Human Services organization with annual revenue of $1.6B
ELDERPLAN INC,112625096,Health,,Health organization with annual revenue of $1.6B
SHARP MEMORIAL HOSPITAL,953782169,Health,,Health organization with annual revenue of $1.6B
TOLEDO HOSPITAL,344428256,Health,,Health organization with annual revenue of $1.6B
WORLD VISION,951922279,International,,International organization with annual revenue of $1.6B
ROCHESTER GENERAL HOSPITAL,160743134,Health,,Health organization with annual revenue of $1.6B
NATIONWIDE CHILDRENS HOSPITAL INC,311429047,Health,,Health organization with annual revenue of $1.6B
BJC HEALTH SYSTEM,431617558,Health,,Health organization with annual revenue of $1.6B
ST LUKES HOSPITAL,231352213,Health,,Health organization with annual revenue of $1.6B
HENNEPIN HEALTHCARE SYSTEM INC,421707837,Health,,Health organization with annual revenue of $1.6B
MIAMI VALLEY HOSPITAL,310537504,Health,,Health organization with annual revenue of $1.6B
SUMMA HEALTH GROUP RETURN,900640432,Other,,Other organization with annual revenue of $1.5B
MHM SUPPORT SERVICES,202553101,Other,,Other organization with annual revenue of $1.5B
UNIVERSITY OF WESTERN ONTARIO,986001623,International,,International organization with annual revenue of $1.5B
WILLIS-KNIGHTON MEDICAL CENTER,720400933,Health,,Health organization with annual revenue of $1.5B
CHG FOUNDATION,330586911,Health,,Health organization with annual revenue of $1.5B
INTERNATIONAL RESCUE COMMITTEE INC,135660870,International,,International organization with annual revenue of $1.5B
ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,362170833,Health,,Health organization with annual revenue of $1.5B
READING HOSPITAL,231352204,Health,,Health organization with annual revenue of $1.5B
ALBERT EINSTEIN HEALTHCARE NETWORK,465338502,Other,,Other organization with annual revenue of $1.5B
ST VINCENT HOSPITAL & HEALTH CARE,350869066,Health,,Health organization with annual revenue of $1.5B
STATEN ISLAND UNIVERSITY HOSPITAL,112868878,Health,,Health organization with annual revenue of $1.5B
SOUTHERN NEW HAMPSHIRE UNIVERSITY,020274509,Education,,Education organization with annual revenue of $1.5B
ST JOSEPH HEALTH NORTHERN CALIFORNIA LLC,814791043,Health,,Health organization with annual revenue of $1.5B
UNIVERSITY HEALTH SYSTEM INC,311626179,Health,,Health organization with annual revenue of $1.5B
NATURE CONSERVANCY,530242652,Other,,Other organization with annual revenue of $1.5B
ALTAMED HEALTH SERVICES CORP,952810095,Health,,Health organization with annual revenue of $1.5B
PHOENIX CHILDRENS HOSPITAL,860422559,Health,,Health organization with annual revenue of $1.5B
DIGNITY HEALTH MEDICAL FOUNDATION,680220314,Health,,Health organization with annual revenue of $1.5B
DEACONESS HOSPITAL INC,350593390,Health,,Health organization with annual revenue of $1.5B
MCHS HOSPITALS INC,810977948,Health,,Health organization with annual revenue of $1.5B
BAYLOR UNIVERSITY,741159753,Education,,Education organization with annual revenue of $1.5B
WESTERN GOVERNORS UNIVERSITY,474365018,Education,,Education organization with annual revenue of $1.5B
RENAISSANCE CHARITABLE FOUNDATION INC,352129262,Human Services,,Human Services organization with annual revenue of $1.5B
THE GOVERNORS OF THE UNIVERSITY OF ALBERTA,986001254,International,,International organization with annual revenue of $1.5B
RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK,141368361,Education,,Education organization with annual revenue of $1.4B
FORSYTH MEMORIAL HOSPITAL INC,560928089,Health,,Health organization with annual revenue of $1.4B
UNIVERSITY OF WISCONSIN MEDICAL FOUNDATION INC,391824445,Health,,Health organization with annual revenue of $1.4B
MOTHER FRANCES HOSPITAL REGIONAL HEALTH CARE CENTER,750818167,Health,,Health organization with annual revenue of $1.4B
CHILDRENS HOSPITAL OF ORANGE COUNTY,952321786,Health,,Health organization with annual revenue of $1.4B
WILLIAM MARSH RICE UNIVERSITY,741109620,Education,,Education organization with annual revenue of $1.4B
MOUNT CARMEL HEALTH SYSTEM,311439334,Other,,Other organization with annual revenue of $1.4B
THE CARLE FOUNDATION HOSPITAL,371119538,Health,,Health organization with annual revenue of $1.4B
UNIVERSITE DE MONTREAL SUCCURSALE A QUEBEC,237172320,Education,,Education organization with annual revenue of $1.4B
RESEARCH TRIANGLE INSTITUTE,560686338,Research,,Research organization with annual revenue of $1.4B
DREXEL UNIVERSITY,231352630,Education,,Education organization with annual revenue of $1.4B
TRUSTEES OF TUFTS COLLEGE,042103634,Education,,Education organization with annual revenue of $1.4B
TEXAS HEALTH RESOURCES,752702388,Health,,Health organization with annual revenue of $1.4B
EISENHOWER MEDICAL CENTER,956130458,Health,,Health organization with annual revenue of $1.4B
CHRIST HOSPITAL,310538525,Health,,Health organization with annual revenue of $1.4B
CHILDRENS HOSPITAL MEDICAL CENTER OF AKRON,340714357,Health,,Health organization with annual revenue of $1.4B
TUFTS MEDICAL CENTER PARENT INC,270440772,Other,,Other organization with annual revenue of $1.4B
ASANTE,930223960,Health,,Health organization with annual revenue of $1.4B
BAPTIST HEALTH,710236856,Health,,Health organization with annual revenue of $1.4B
AEROSPACE CORPORATION,952102389,Research,,Research organization with annual revenue of $1.4B
BAYLOR SCOTT & WHITE HEALTH,463131350,Health,,Health organization with annual revenue of $1.4B
HOWARD UNIVERSITY,530204707,Education,,Education organization with annual revenue of $1.4B
PROVIDENCE MEDICAL FOUNDATION,330185031,Health,,Health organization with annual revenue of $1.4B
UNIVERSITY OF WATERLOO,980061413,Other,,Other organization with annual revenue of $1.3B
BAPTIST HEALTH OF SOUTH FLORIDA INC,650267668,Health,,Health organization with annual revenue of $1.3B
PRESBYTERIAN MEDICAL CENTER OF THE UNIVERSITY OF PENNSYLVANIA HEALTH,232810852,Health,,Health organization with annual revenue of $1.3B
LAKELAND REGIONAL MEDICAL CENTER INC,592650456,Health,,Health organization with annual revenue of $1.3B
ROYAL INSTITUTION FOR THE ADVANCEMENT OF LEARNING-MCGILL UNI,986001153,Other,,Other organization with annual revenue of $1.3B
HEALTHTEXAS PROVIDER NETWORK,752536818,Health,,Health organization with annual revenue of $1.3B
AMERICAN ENDOWMENT FOUNDATION,341747398,Human Services,,Human Services organization with annual revenue of $1.3B
NAVIGATION CHARITABLE FUND,921117448,Research,,Research organization with annual revenue of $1.3B
ERLANGER HEALTH,883616696,Health,,Health organization with annual revenue of $1.3B
SCOTT & WHITE CLINIC,742958277,Health,,Health organization with annual revenue of $1.3B
BRONSON METHODIST HOSPITAL,381359087,Health,,Health organization with annual revenue of $1.3B
BETH ISRAEL MEDICAL CENTER,135564934,Health,,Health organization with annual revenue of $1.3B
MERCY HOSPITAL SPRINGFIELD,440552485,Health,,Health organization with annual revenue of $1.3B
COREWELL HEALTH,383382353,Health,,Health organization with annual revenue of $1.3B
CHI ST LUKES HEALTH BAYLOR COLLEGE OF MEDICINE MEDICAL CENTER,741161938,Health,,Health organization with annual revenue of $1.3B
NATIONAL COLLEGIATE ATHLETIC ASSOCIATION,440567264,Human Services,,Human Services organization with annual revenue of $1.3B
CHAN ZUCKERBERG BIOHUB INC,811669175,Health,,Health organization with annual revenue of $1.3B
PRIORITY HEALTH CHOICE INC,320016523,Health,,Health organization with annual revenue of $1.3B
DUKE HEALTH INTEGRATED PRACTICE INC,862109896,Other,,Other organization with annual revenue of $1.3B
INDIANA UNIVERSITY HEALTH CARE ASSOCIATES INC,351747218,Health,,Health organization with annual revenue of $1.3B
LEGACY EMANUEL HOSPITAL & HEALTH CENTER,930386823,Health,,Health organization with annual revenue of $1.3B
VIRGINIA MASON MEDICAL CENTER,910565539,Health,,Health organization with annual revenue of $1.3B
ASCENSION HEALTH-IS INC,651257719,Other,,Other organization with annual revenue of $1.3B
UOFL HEALTH-LOUISVILLE INC,843178470,Health,,Health organization with annual revenue of $1.3B
GROUP HEALTH INC,410797853,Health,,Health organization with annual revenue of $1.3B
VILLAGE SENIOR SERVICES CORPORATION,262006545,Health,,Health organization with annual revenue of $1.3B
MCLEOD REGIONAL MEDICAL CENTER OF THE PEE DEE INC,570370242,Health,,Health organization with annual revenue of $1.3B
CITY UNIVERSITY CONSTRUCTION FUND,132587538,Education,,Education organization with annual revenue of $1.3B
SAINT THOMAS WEST HOSPITAL,620347580,Health,,Health organization with annual revenue of $1.3B
ST CHARLES HEALTH SYSTEM INC,930602940,Health,,Health organization with annual revenue of $1.2B
CHRISTUS HEALTH,760590551,Health,,Health organization with annual revenue of $1.2B
THE GOVERNORS OF THE UNIVERSITY OF CALGARY,237067592,Other,,Other organization with annual revenue of $1.2B
COMMUNITY BEHAVORIAL HEALTH,232766661,Health,,Health organization with annual revenue of $1.2B
INTERMOUNTAIN MEDICAL HOLDINGS NEVADA INC,200160881,Health,,Health organization with annual revenue of $1.2B
TEXAS HEALTH HARRIS METHODIST HOSPITAL FORT WORTH,756001743,Health,,Health organization with annual revenue of $1.2B
ADVOCATE NORTH SIDE HEALTH NETWORK,363196629,Health,,Health organization with annual revenue of $1.2B
LAHEY CLINIC HOSPITAL INC,042704686,Health,,Health organization with annual revenue of $1.2B
CENTRAL IOWA HOSPITAL CORPORATION,420680452,Health,,Health organization with annual revenue of $1.2B
CHRISTUS SANTA ROSA HEALTH CARE CORPORATION,741109665,Health,,Health organization with annual revenue of $1.2B
DRISCOLL CHILDRENS HEALTH PLAN,742838488,Health,,Health organization with annual revenue of $1.2B
PRESENCE CHICAGO HOSPITALS NETWORK,362235165,Human Services,,Human Services organization with annual revenue of $1.2B
INTEGRIS BAPTIST MEDICAL CENTER INC,731034824,Health,,Health organization with annual revenue of $1.2B
VALLEY HEALTH SYSTEM,800584319,Other,,Other organization with annual revenue of $1.2B
CARESOURCE INDIANA INC,320121856,Health,,Health organization with annual revenue of $1.2B
EDWARD W SPARROW HOSPITAL ASSOCIATION,381360584,Health,,Health organization with annual revenue of $1.2B
SOUTHCOAST HOSPITALS GROUP INC,222592333,Health,,Health organization with annual revenue of $1.2B
TEXAS CHRISTIAN UNIVERSITY,750827465,Education,,Education organization with annual revenue of $1.2B
SSM HEALTH CARE CORPORATION,466029223,Health,,Health organization with annual revenue of $1.2B
FIRST HEALTH OF THE CAROLINAS INC,561936354,Health,,Health organization with annual revenue of $1.2B
BANK OF AMERICA CHARITABLE GIFT FUND,046010342,Human Services,,Human Services organization with annual revenue of $1.2B
CUMBERLAND COUNTY HOSPITAL SYSTEM INC,560845796,Health,,Health organization with annual revenue of $1.2B
GUNDERSEN LUTHERAN ADMINISTRATIVE SERVICES INC,391606449,Health,,Health organization with annual revenue of $1.2B
IDEA PUBLIC SCHOOLS,742948339,Education,,Education organization with annual revenue of $1.2B
COBB HOSPITAL,580968382,Health,,Health organization with annual revenue of $1.2B
RENOWN REGIONAL MEDICAL CENTER,880213754,Health,,Health organization with annual revenue of $1.2B
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,591680273,Other,,Other organization with annual revenue of $1.2B
UNIVERSITY OF ALABAMA HEALTH SERVICES FOUNDATION PC,630649108,Health,,Health organization with annual revenue of $1.2B
ST LUKES HOSPITAL OF KANSAS CITY,440545297,Health,,Health organization with annual revenue of $1.2B
ROCHESTER INSTITUTE OF TECHNOLOGY,160743140,Education,,Education organization with annual revenue of $1.2B
VALLEY HOSPITAL INC,221487307,Health,,Health organization with annual revenue of $1.2B
SOUTHERN METHODIST UNIVERSITY,750800689,Education,,Education organization with annual revenue of $1.1B
SALEM HEALTH,930579722,Health,,Health organization with annual revenue of $1.1B
KETTERING COLLEGE,310621866,Health,,Health organization with annual revenue of $1.1B
CHILDRENS HEALTH CARE,411754276,Health,,Health organization with annual revenue of $1.1B
SHANDS JACKSONVILLE MEDICAL CENTER INC,592142859,Health,,Health organization with annual revenue of $1.1B
VIRTU-WEST JERSEY HEALTH SYSTEM INC,210634532,Health,,Health organization with annual revenue of $1.1B
JEWISH COMMUNAL FUND,237174183,Human Services,,Human Services organization with annual revenue of $1.1B
CAPITAL HEALTH SYSTEM INC,223548695,Health,,Health organization with annual revenue of $1.1B
ELDERSERVE HEALTH INC,800517818,Health,,Health organization with annual revenue of $1.1B
INSPIRA MEDICAL CENTERS INC,210634484,Health,,Health organization with annual revenue of $1.1B
UNIVERSITY COMMUNITY HOSPITAL INC,591113901,Health,,Health organization with annual revenue of $1.1B
WORLD FEDERATION OF HEMOPHILIA USA,161513923,Health,,Health organization with annual revenue of $1.1B
CENTRA HEALTH INC,540715569,Health,,Health organization with annual revenue of $1.1B
INTERMOUNTAIN FRONT RANGE INC,841103606,Health,,Health organization with annual revenue of $1.1B
OHIO STATE UNIVERSITY PHYSICIANS INC,311447726,Education,,Education organization with annual revenue of $1.1B
FORDHAM UNIVERSITY,131740451,Education,,Education organization with annual revenue of $1.1B
MCMASTER UNIVERSITY ONTARIO,237213309,Other,,Other organization with annual revenue of $1.1B
CAPE COD HEALTHCARE INC,900054984,Health,,Health organization with annual revenue of $1.1B
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANIZATION,980119947,Other,,Other organization with annual revenue of $1.1B
BROOKDALE HOSPITAL MEDICAL CENTER,111631746,Health,,Health organization with annual revenue of $1.1B
EASTERN MAINE HEALTHCARE SYSTEMS,010211501,Health,,Health organization with annual revenue of $1.1B
PARKVIEW HEALTH SYSTEM INC,351972384,Health,,Health organization with annual revenue of $1.1B
DRISCOLL CHILDRENS HOSPITAL,742577746,Health,,Health organization with annual revenue of $1.1B
PHYSICIAN AFFILIATE GROUP OF NEW YORK PC,900603487,Health,,Health organization with annual revenue of $1.1B
YALE NEW HAVEN HEALTH SERVICES CORPORATION,222529464,Health,,Health organization with annual revenue of $1.1B
NCF CHARITABLE TRUST,204326440,Religion,,Religion organization with annual revenue of $1.1B
METHODIST HOSPITAL,571201170,Health,,Health organization with annual revenue of $1.1B
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,920162721,Health,,Health organization with annual revenue of $1.1B
EDUCATIONAL TESTING SERVICE,210634479,Education,,Education organization with annual revenue of $1.1B
ENGLEWOOD HOSPITAL AND MEDICAL CENTER A NEW JERSEY NONPROFIT CORP,221487173,Health,,Health organization with annual revenue of $1.1B
ST CLOUD HOSPITAL,410695596,Health,,Health organization with annual revenue of $1.1B
HEALTH RESEARCH INCORPORATED ELIZABETH WOOD,141402155,Health,,Health organization with annual revenue of $1.1B
GROSSMONT HOSPITAL CORPORATION,330449527,Health,,Health organization with annual revenue of $1.1B
ASCENSION ST JOHN HOSPITAL,381359063,Health,,Health organization with annual revenue of $1.1B
STORMONT-VAIL HEALTHCARE INC,480543789,Health,,Health organization with annual revenue of $1.1B
NEWYORK-PRESBYTERIAN-QUEENS,111839362,Health,,Health organization with annual revenue of $1.1B
TALLAHASSEE MEMORIAL HEALTHCARE INC,591917016,Health,,Health organization with annual revenue of $1.1B
ORLANDO HEALTH MEDICAL GROUP INC,593259553,Health,,Health organization with annual revenue of $1.1B
BAYHEALTH MEDICAL CENTER INC,510064318,Health,,Health organization with annual revenue of $1.1B
CHRISTUS TRINITY CLINIC TEXAS,752616977,Health,,Health organization with annual revenue of $1.1B
LOYOLA UNIVERSITY OF CHICAGO,361408475,Education,,Education organization with annual revenue of $1.1B
MOUNTAIN STATES HEALTH ALLIANCE,620476282,Health,,Health organization with annual revenue of $1.1B
SOUTH SHORE UNIVERSITY HOSPITAL,111667761,Health,,Health organization with annual revenue of $1.1B
SSM HEALTH CARE OF OKLAHOMA INC,730657693,Health,,Health organization with annual revenue of $1.1B
MOUNT SINAI MEDICAL CENTER OF FLORIDA INC,590624424,Health,,Health organization with annual revenue of $1.1B
REGIONS HOSPITAL,410956618,Health,,Health organization with annual revenue of $1.1B
HCR MANORCARE INC,825373223,Health,,Health organization with annual revenue of $1.0B
OCHSNER LSU HEALTH SYSTEM OF NORTH LOUISIANA,831605004,Health,,Health organization with annual revenue of $1.0B
FLORIDA HOSPITAL MEDICAL GROUP INC,593214635,Other,,Other organization with annual revenue of $1.0B
WHITE PLAINS HOSPITAL MEDICAL CENTER,131740130,Health,,Health organization with annual revenue of $1.0B
WELLSPAN MEDICAL GROUP,232730785,Health,,Health organization with annual revenue of $1.0B
POUDRE VALLEY MEDICAL GROUP LLC,800348943,Health,,Health organization with annual revenue of $1.0B
MONUMENT HEALTH RAPID CITY HOSPITAL INC,460319070,Health,,Health organization with annual revenue of $1.0B
CAMP BOWIE SERVICE CENTER,943299123,Health,,Health organization with annual revenue of $1.0B
LEHIGH VALLEY PHYSICIAN GROUP,232700908,Health,,Health organization with annual revenue of $1.0B
ST JOSEPHS HEALTH SYSTEM SUBORDINATE GROUP RETURN,271344467,Other,,Other organization with annual revenue of $1.0B
SAINT JOSEPH HEALTH SYSTEM INC,611334601,Health,,Health organization with annual revenue of $1.0B
NOVA SOUTHEASTERN UNIVERSITY INC,591083502,Education,,Education organization with annual revenue of $1.0B
COLLEGE BOARD,131623965,Education,,Education organization with annual revenue of $1.0B
BAYCARE HEALTH SYSTEMS INC,592796965,Health,,Health organization with annual revenue of $1.0B
MEDICAL CENTER OF CENTRAL GEORGIA INC,582149128,Health,,Health organization with annual revenue of $1.0B
ALLIANCE FOR SUSTAINABLE ENERGY LLC,261939342,Research,,Research organization with annual revenue of $1.0B
SINAI HOSPITAL OF BALTIMORE INC,520486540,Health,,Health organization with annual revenue of $1.0B
INLAND COUNTIES REGIONAL CENTER INC,237121672,Human Services,,Human Services organization with annual revenue of $1.0B
MORTON PLANT HOSPITAL ASSOCIATION INC,590624462,Health,,Health organization with annual revenue of $1.0B
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,940760193,Health,,Health organization with annual revenue of $1.0B
AU MEDICAL CENTER INC,582144788,Education,,Education organization with annual revenue of $1.0B
FOSTER CHARITABLE TRUST,846847169,Other,,Other organization with annual revenue of $1.0B
ENLOE MEDICAL CENTER,941603784,Health,,Health organization with annual revenue of $997M
UNITED HEALTH SERVICES HOSPITALS INC,161165049,Health,,Health organization with annual revenue of $993M
UNIVERSITY HOSPITALS HEALTH SYSTEM INC,340714775,Health,,Health organization with annual revenue of $990M
ATLANTICARE HEALTH SYSTEM INC,900779828,Other,,Other organization with annual revenue of $989M
YORK UNIVERSITY,237069967,Education,,Education organization with annual revenue of $987M
NORTH MISSISSIPPI MEDICAL CENTER INC,640662976,Health,,Health organization with annual revenue of $985M
AULTMAN HEALTH FOUNDATION GROUP RETURN,320483994,Health,,Health organization with annual revenue of $982M
SANTA BARBARA COTTAGE HOSPITAL,951644629,Health,,Health organization with annual revenue of $979M
CATHOLIC HEALTH INITIATIVES-IOWA CORP,420680448,Health,,Health organization with annual revenue of $977M
ASHLAND HOSPITAL CORPORATION,610444716,Health,,Health organization with annual revenue of $976M
BAPTIST MEMORIAL HOSPITAL,620123940,Health,,Health organization with annual revenue of $975M
VARIETY CHILDRENS HOSPITAL,590638499,Health,,Health organization with annual revenue of $974M
AMERICAN HEART ASSOCIATION INC,135613797,Health,,Health organization with annual revenue of $972M
MERCY HEALTH SERVICES IOWA CORP,311373080,Health,,Health organization with annual revenue of $972M
POUDRE VALLEY HEALTH CARE INC,841262971,Health,,Health organization with annual revenue of $970M
